No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
14857,RP11-536L3.4,0.228293229,0.200472305,0,0
14858,ABO,0.25955749,0.200576773,0.9448,0.09052
14859,RN7SL336P,0.159062013,0.20069273,0.9196,0.2167
14860,PLBD2,-0.098680177,0.200702532,1.316,0.005049
14861,GRK6P1,-0.201639849,0.200702542,1.087,0.2213
14862,SCML1,0.135531829,0.200732463,1.162,0.0622
14863,CTD-2517O10.6,0.116544705,0.200767792,0,0
14864,CTD-2194A8.2,0.256414091,0.200864034,0,0
14865,ESRRB,0.233699899,0.200872566,1,0.9988
14866,STK17B,-0.116725439,0.200916497,1.026,0.7274
14867,PCDHGB5,0.251927402,0.201070849,0.8956,0.008571
14868,RP11-370A5.1,0.236011846,0.20119323,0,0
14869,RPS14,-0.116328054,0.20123763,0.9858,0.8717
14870,CXCR1,0.215573742,0.201247373,0.9397,0.1938
14871,RP11-367B6.2,0.241009613,0.201262414,0,0
14872,TARBP1,-0.099545759,0.201369011,1.367,0.002112
14873,RECQL5,-0.082349443,0.201395965,1.343,0.006422
14874,CCDC152,0.128101118,0.201411585,0.7781,0.00268
14875,CDK4,-0.091634493,0.201427481,1.036,0.7059
14876,KRT1,0.290182543,0.201462195,0.9284,0.06346
14877,CTSS,-0.149924421,0.201488182,0.9897,0.8437
14878,ZNF281,0.094888268,0.20149765,0.9774,0.8044
14879,STEAP4,0.203595084,0.201529677,0.989,0.8066
14880,ARPC4,-0.094844873,0.20153727,1.382,0.02613
14881,ACSL5,-0.125065159,0.201547532,0.9369,0.3646
14882,AP000892.6,0.201419477,0.201709739,0,0
14883,AASS,0.131668362,0.201720034,0.9093,0.09326
14884,LLNLR-285B5.1,0.285267713,0.201739116,0,0
14885,RP11-213G2.5,0.245489733,0.201769379,0,0
14886,AC017002.2,0.26025645,0.201809512,0,0
14887,TRIM4,0.080046497,0.201845987,0.7813,0.000649
14888,CTD-2600H12.2,0.187572701,0.201880648,0,0
14889,SETP14,0.122170587,0.201898335,0.8254,0.008147
14890,RP11-267J23.4,-0.109468154,0.201908855,0,0
14891,RP13-554M15.2,0.217429363,0.20196209,0,0
14892,APOO,0.140323368,0.202072059,1.073,0.3629
14893,GLYATL1P1,0.189575358,0.202126309,0.8557,0.003045
14894,XKR9,-0.205543296,0.202151532,1.078,0.1373
14895,LIPT1,0.076775679,0.202199007,0.9519,0.6749
14896,YWHAB,0.059766117,0.202245754,0.8329,0.08191
14897,ARV1,0.082867861,0.202246541,0.9563,0.6737
14898,SNRPN,0.09667149,0.20235704,0.8928,0.1539
14899,S100P,0.231427991,0.202363689,1.039,0.4584
14900,TRAPPC4,-0.060434747,0.202547058,1.035,0.7949
14901,RP11-745A24.2,-0.163094424,0.202573874,0,0
14902,RP11-61N20.3,0.17393928,0.202719631,0,0
14903,SNRPD2,-0.115230696,0.202750775,1.386,0.004583
14904,SART3,-0.043874014,0.202800202,1.037,0.75
14905,LINC00960,0.240661922,0.202843838,1,0.9925
14906,FAM98C,-0.084530606,0.202905762,1.112,0.3662
14907,MTRF1,0.08326108,0.202944015,0.9507,0.6365
14908,ERICD,-0.114065712,0.202948417,1.17,0.07906
14909,AP000351.3,0.222476439,0.203040774,0,0
14910,CREB5,-0.139218639,0.20307071,1.004,0.9453
14911,BRD7P2,0.117268663,0.203092926,0.9549,0.5503
14912,LLPH,-0.05584674,0.203181685,1.068,0.6264
14913,RP11-254B13.4,0.216743088,0.203251902,0,0
14914,AR,0.15686693,0.203278326,0.7842,7.61E-10
14915,RP11-288E14.2,0.124327129,0.203323077,0,0
14916,FKBP1B,0.150995764,0.203375609,1.081,0.2519
14917,OSCP1,0.08354141,0.20345678,0.7525,0.001383
14918,ZNF688,-0.107959405,0.20356688,1.059,0.5795
14919,RP11-737O24.3,0.225561898,0.203664307,0,0
14920,LRRC14,-0.074002585,0.203692322,1.401,0.01381
14921,GIMAP5,0.146374363,0.203756053,0.8486,0.004409
14922,TVP23C,0.130400346,0.203788947,1.364,0.0004804
14923,NPDC1,0.138812466,0.203845591,1.109,0.1626
14924,MUL1,0.07902372,0.203846612,0.8038,0.0135
14925,PTPN20A,0.320958961,0.203859374,0.9689,0.2523
14926,ARMCX1,0.084695674,0.20389955,0.8441,0.05007
14927,HMGN2P4,0.173059996,0.203920215,0.8604,0.03876
14928,RP11-330M19.1,0.180888029,0.203961212,0,0
14929,EPM2AIP1,0.078294081,0.203962222,0.9892,0.9127
14930,C9orf50,0.225252584,0.203983412,0.9958,0.9234
14931,PSEN1,0.070979014,0.204014343,0.7939,0.02003
14932,WDR73,-0.075933605,0.204051807,1.158,0.1591
14933,CYP2A6,0.240703211,0.204177908,0.9738,0.6123
14934,RPL3P1,0.192503099,0.204216778,0.891,0.1151
14935,ALKBH7,-0.139113629,0.204235213,1.108,0.2622
14936,ZACN,-0.136820786,0.204236954,1.426,0.0002802
14937,CTSE,0.333409363,0.204305041,0.9223,0.007395
14938,RP11-553L6.5,-0.105181648,0.204352172,0,0
14939,GOLGA8B,-0.232150292,0.204400849,1.226,0.00000404
14940,CTC-241N9.1,-0.107337044,0.204428041,0,0
14941,RANBP3,-0.050645706,0.204441852,1.214,0.1878
14942,ACTR5,-0.059799357,0.204565663,1.255,0.09548
14943,MSANTD3-TMEFF1,-0.144700758,0.204687274,0.9904,0.8863
14944,RP11-563J2.2,0.181198167,0.204717247,0,0
14945,CITF22-92A6.1,-0.109928945,0.204773373,0,0
14946,RP11-810P12.7,-0.149346182,0.204801216,0,0
14947,RP11-571I18.4,0.151468399,0.204825979,0,0
14948,SF3B2,-0.04423143,0.204852655,0.9618,0.7375
14949,RP11-295H24.4,-0.125643411,0.204918456,0,0
14950,RP1-159A19.3,0.188431365,0.204922889,0,0
14951,RP11-344P13.3,-0.203917631,0.204951697,0,0
14952,AC124914.3,0.261649006,0.204994514,0,0
14953,TMEM19,-0.103841781,0.205017139,0.8087,0.01793
14954,EEF1A1P12,0.135243581,0.205106906,0.8147,0.0009116
14955,RP11-767N6.7,-0.084491886,0.205146458,0,0
14956,CYP26C1,-0.337517257,0.20517848,1.156,0.0003723
14957,UGT2B7,0.192475773,0.205188227,0.8715,0.00000591
14958,ZNF322,0.086297753,0.205289161,0.8073,0.00684
14959,RP11-379H18.1,0.068975688,0.205335901,0,0
14960,CSNK2A3,0.136808538,0.20542845,0.8605,0.01881
14961,RP11-50D16.4,-0.168391039,0.205434021,0,0
14962,C11orf52,0.156256859,0.205470154,0.7874,0.0000269
14963,TAF4B,0.095426424,0.205496151,0.9205,0.2391
14964,HNF1A,0.174502307,0.205558249,0.8489,0.00000685
14965,SNORA2A,0.255566757,0.205596123,1.15,0.01109
14966,UNC5A,-0.26928412,0.205640354,1.082,0.0218
14967,NT5C3A,-0.095879145,0.205651078,1.074,0.4501
14968,CTC-277H1.7,-0.137714595,0.205794798,0,0
14969,RP5-1153D9.5,-0.204211305,0.205841414,0,0
14970,TIGD4,0.131015522,0.206083094,0.9086,0.1312
14971,RP4-669L17.10,-0.174360614,0.206097545,0,0
14972,SFT2D1,-0.063857187,0.206097925,1.118,0.3703
14973,DNAAF1,-0.195601865,0.206185218,1.14,0.02035
14974,ROR1-AS1,-0.323043749,0.206230461,1.275,7.11E-10
14975,ZNF556,0.24047901,0.206250874,0.9914,0.8422
14976,LYPLA2P1,-0.194075352,0.206352229,0.9761,0.7414
14977,AC003075.4,-0.168126662,0.206416468,0,0
14978,EIF2D,-0.056204633,0.206477709,1.102,0.4729
14979,SUMO2,-0.059201482,0.206501024,1.217,0.1605
14980,GPATCH3,0.069055451,0.20652445,0.8404,0.1165
14981,IGKV1OR2-108,-0.378815161,0.20652788,1.052,0.08378
14982,SPHK2,-0.079910124,0.206532236,1.01,0.9066
14983,NPC1L1,-0.384695211,0.206571854,1.084,0.004083
14984,SOGA3,-0.191095761,0.206612404,1.152,0.008423
14985,AC007255.8,0.236120114,0.206653777,0,0
14986,ICT1,-0.084019436,0.206680282,1.212,0.1355
14987,GGT1,0.184333089,0.206724851,0.9283,0.02779
14988,RNMTL1,0.068451832,0.206781645,0.8555,0.1622
14989,NUDT15,0.066574706,0.206784465,0.865,0.1505
14990,ABHD17A,-0.08830501,0.206802346,1.308,0.02286
14991,RP11-789C17.1,0.182767499,0.206846552,0,0
14992,PLAGL1,0.146131618,0.206847601,1.109,0.09761
14993,RPL24,-0.124925591,0.206882952,1.196,0.06292
14994,ALPI,-0.439589587,0.206962834,0.9692,0.1206
14995,ZDHHC8P1,-0.22589702,0.207017616,1.071,0.1222
14996,RP11-379B18.1,-0.213196419,0.207135493,0,0
14997,CBR3,-0.161231316,0.207273703,1.25,0.001127
14998,POLR2B,0.059078599,0.207289361,0.8746,0.1226
14999,OGFOD3,0.071648578,0.20730525,1.13,0.3554
15000,SIKE1,0.055822011,0.207492834,0.8699,0.1962
15001,CMB9-94B1.2,0.216327198,0.207517897,0,0
15002,EIF4A3,-0.063087288,0.207520895,1.081,0.4962
15003,TBL3,-0.080708523,0.20752456,1.084,0.5093
15004,ABR,0.110639041,0.207541813,0.9782,0.8027
15005,CPSF3L,-0.081359979,0.207543758,1.375,0.01482
15006,AC021188.4,-0.151444438,0.207569362,0,0
15007,GPR143,0.317064876,0.207583277,0.9881,0.7277
15008,CTC-550B14.6,-0.2544302,0.207586299,0,0
15009,FLRT1,0.230099158,0.207651213,1.03,0.3195
15010,CACNG8,-0.19867807,0.20773459,1.087,0.08621
15011,TIFAB,-0.221798993,0.2077601,0.9551,0.231
15012,FBXO31,0.063588834,0.207763433,0.9487,0.6262
15013,DIO3,0.328998521,0.207771319,0.9746,0.4812
15014,CTC-338M12.5,-0.150730949,0.207790775,0,0
15015,CTD-3105H18.11,-0.26987681,0.207834704,0,0
15016,FMR1,0.074489516,0.207861245,0.8242,0.03172
15017,PPP1R14A,0.200258581,0.207879565,1.001,0.9881
15018,PCDH18,0.173414814,0.207966407,0.9588,0.4445
15019,UBE2E1-AS1,-0.194401972,0.207973842,1.14,0.07737
15020,BHMT,0.221612755,0.207984074,0.9029,0.0000169
15021,TMEM127,0.049677655,0.208116511,0.9017,0.3236
15022,AZIN2,-0.09686867,0.208121189,1.017,0.8443
15023,NUPL2,-0.071163502,0.208132783,1.364,0.02418
15024,RP11-379F4.4,-0.188410962,0.208198333,0,0
15025,RP11-69I8.3,-0.189950145,0.208203802,0,0
15026,XXbac-B444P24.8,0.194414766,0.208289297,0,0
15027,OSBPL10-AS1,0.306903319,0.20830702,1.128,0.02482
15028,ARRDC1,-0.109991191,0.208375222,1.342,0.007438
15029,PTPLAD2,-0.114536313,0.208379582,1.037,0.6478
15030,UBE2L4,0.269661248,0.208379989,1.086,0.1615
15031,CTD-2653D5.1,0.256847225,0.208392729,0,0
15032,ZNF609,0.070042498,0.208443819,0.9425,0.4861
15033,RP11-20G13.4,0.218634628,0.208460366,0,0
15034,PSMA6P1,0.192543982,0.208592299,0.9125,0.2172
15035,ACTG1P14,-0.179459889,0.208706886,1.131,0.08081
15036,FLJ33360,0.220895278,0.20873707,0,0
15037,RP11-147I3.1,-0.209042563,0.208821299,0,0
15038,TPM3,-0.059162283,0.208837418,1.051,0.6611
15039,WDR75,-0.059208204,0.208858882,1.354,0.02283
15040,PDXDC1,0.064968548,0.208910797,0.8494,0.07513
15041,HES1,0.142382558,0.209048582,1.051,0.4665
15042,RHOA-IT1,0.21975814,0.209087039,1.049,0.3537
15043,RPS2P7,-0.155366816,0.209094525,1.081,0.2917
15044,ATP5SL,0.072578959,0.209110436,0.976,0.8304
15045,BTC,0.183559279,0.209258136,0.9357,0.1507
15046,MKRN2OS,0.22237935,0.209272149,1.052,0.3097
15047,WHAMM,-0.064910447,0.209290049,1.143,0.2383
15048,WSB2,-0.070960583,0.209320061,1.034,0.7606
15049,FCF1P2,0.061216493,0.209597022,0.8703,0.1706
15050,VLDLR,0.122915508,0.209610217,0.8929,0.1367
15051,CTD-2063L20.1,-0.209146269,0.209645317,0,0
15052,SLC16A13,-0.156805822,0.209718145,0.8896,0.02877
15053,RHPN1-AS1,-0.127811219,0.209742458,1.104,0.2266
15054,RP11-861E21.2,-0.219883184,0.209780456,0,0
15055,C2,-0.236506276,0.209802857,1.118,0.002048
15056,CHRD,-0.1751582,0.209824847,1.217,0.001914
15057,RP11-572O6.1,0.191566105,0.20986341,0,0
15058,ACSM5,0.179528617,0.209866531,0.8942,0.001381
15059,ZNF74,-0.062903039,0.209901147,1.188,0.1707
15060,PMPCA,0.078585875,0.209994185,0.9417,0.6115
15061,IGHV4-61,-0.387356469,0.210023179,1.041,0.1383
15062,E2F8,-0.191851711,0.210023667,1.094,0.0424
15063,TATDN3,0.078056804,0.210118653,0.9267,0.4648
15064,SEC14L1P1,0.120523967,0.21014516,1.125,0.1208
15065,PYGO1,-0.217111954,0.210242139,1.104,0.02178
15066,DDX51,-0.079400207,0.210271203,1.321,0.02395
15067,ABCA9,-0.195416203,0.210286727,1.089,0.08349
15068,RP11-44N11.2,-0.224828341,0.210290111,0,0
15069,KB-1732A1.1,-0.146507827,0.210313433,0,0
15070,CNPPD1,0.096095871,0.210338512,0.7927,0.00235
15071,RP11-48B14.1,0.129470557,0.210353418,0,0
15072,ELF1,0.078200195,0.210359706,0.8408,0.04725
15073,TRIM29,0.316189822,0.210365567,1.077,0.01951
15074,RP11-161H23.9,-0.322128367,0.210374126,0,0
15075,CDK18,0.144045862,0.210381763,0.9234,0.09462
15076,RPS26,-0.143279414,0.210383645,1.079,0.321
15077,LINC01482,-0.261088968,0.210415285,1.293,1.17E-07
15078,RIOK3,0.070685734,0.210469371,0.8309,0.03565
15079,RP11-264B14.1,0.217298664,0.210473672,0,0
15080,AC021087.1,0.246472487,0.210490834,0,0
15081,ZNF511,-0.101908696,0.210527322,1.42,0.004129
15082,GUCA1B,-0.172325631,0.210572835,1.191,0.003596
15083,RP11-466P24.2,0.150658221,0.21063133,0,0
15084,EPS15L1,0.054507605,0.210647046,0.9129,0.464
15085,NANOS1,-0.15186773,0.210695474,0.9964,0.9504
15086,CSNK1A1,0.081859559,0.210776958,0.8463,0.03538
15087,PWAR1,0.267524083,0.210780917,1.107,0.06128
15088,RP11-272P10.2,0.23462145,0.210865161,0,0
15089,NIM1K,-0.20348219,0.210924861,1.191,0.0008688
15090,AC073072.7,-0.216796413,0.210949119,0,0
15091,RPL12,-0.103850472,0.211121857,1.315,0.01034
15092,MEMO1P1,0.092823272,0.211166619,0.9828,0.8393
15093,RP11-93O14.2,-0.188334061,0.211178336,0,0
15094,RP11-305E6.4,-0.085722785,0.211267679,0,0
15095,RP11-632K20.2,-0.209683707,0.211323993,0,0
15096,H1FX,-0.111136638,0.21139577,1.216,0.03063
15097,AC007228.9,-0.161441544,0.211410133,0,0
15098,RP11-473O4.5,-0.199209211,0.211418484,0,0
15099,FSTL3,-0.184989474,0.211465343,1.088,0.09715
15100,LPO,-0.296820122,0.211477642,1.309,9.51E-08
15101,NOL6,-0.063385702,0.211560822,1.241,0.09072
15102,PCDHB18P,0.150650428,0.211575171,0.9389,0.3052
15103,ADPGK-AS1,-0.145620601,0.211626799,1.062,0.3644
15104,KIF21B,-0.136456593,0.211664273,1.053,0.3379
15105,LGMNP1,0.180306368,0.211694597,0.8371,0.0005205
15106,MBD3,-0.107407614,0.211701076,1.39,0.01056
15107,RP3-333H23.9,0.238717867,0.211707347,0,0
15108,BUD13,0.042900321,0.211737099,0.8642,0.2192
15109,AC104076.3,-0.202539685,0.211745417,0,0
15110,RP11-182J1.14,-0.249850399,0.211786012,0,0
15111,LMBR1L,-0.099446013,0.211828209,1.337,0.0009398
15112,POT1,0.08395542,0.211838362,0.8343,0.0394
15113,ZNF449,0.084233273,0.211853336,1.103,0.2977
15114,RPL3P12,-0.204905784,0.211857531,0.9035,0.1924
15115,SUSD6,0.067349319,0.211889024,0.8389,0.02857
15116,FAM105A,-0.12800408,0.211912577,0.8782,0.03433
15117,DLEC1,0.193695474,0.211916528,1.121,0.04501
15118,VKORC1L1,-0.079950311,0.211988964,0.902,0.3078
15119,CHDH,0.159369888,0.212178144,0.8213,2.29E-07
15120,RPL13AP7,-0.12664626,0.212251834,1.018,0.8265
15121,GRB7,0.13497999,0.21228857,0.8876,0.04111
15122,NTMT1,0.099231392,0.212355956,1.03,0.7914
15123,FOXK2,-0.061162809,0.212360158,1.455,0.006024
15124,RN7SL809P,0.227405188,0.212531398,1.119,0.0321
15125,RP11-551L14.1,-0.269625645,0.212533933,0,0
15126,FBLN7,-0.206507941,0.212539146,1.04,0.3925
15127,CANT1,-0.068717459,0.212566259,1.144,0.2652
15128,TFAP2A,-0.310367852,0.212584752,1.13,0.0000239
15129,RP11-279O9.4,-0.160666123,0.212588151,0,0
15130,NMUR1,0.153324185,0.212708224,0.9774,0.6837
15131,AK3P3,0.156394958,0.212719092,1.041,0.5716
15132,RP11-353N14.5,0.215899133,0.212753481,0,0
15133,STAU2,0.075550817,0.212769834,0.8744,0.1742
15134,FAM217A,0.222171624,0.212795099,0.9816,0.6932
15135,HLA-DRB6,-0.183306187,0.212888838,0.9756,0.5582
15136,RSPH9,-0.135547936,0.212909133,1.033,0.659
15137,KB-1742H10.3,-0.157918004,0.212927256,0,0
15138,PYGM,0.160305022,0.212960296,0.9668,0.5968
15139,PHF5A,-0.067799607,0.212970286,1.114,0.3896
15140,ZNF862,-0.089742787,0.21298231,1.093,0.3604
15141,RP11-129M16.4,0.109327515,0.212982986,0,0
15142,PEX11G,0.124044515,0.212993818,0.7921,0.002093
15143,RP11-65L3.2,-0.175360077,0.213085615,0,0
15144,LRRC37A3,-0.119580727,0.213170257,1.288,0.003942
15145,RPL15,0.09279585,0.213307821,0.9434,0.5972
15146,DZIP1,0.122455441,0.213419666,0.9752,0.6642
15147,RP11-637O19.2,-0.260662334,0.21342522,0,0
15148,UBE2D1,-0.091968162,0.213435838,1.271,0.04679
15149,ZNF250,0.071984379,0.213498139,0.8457,0.08911
15150,AC078899.1,0.151184314,0.213574132,0,0
15151,RP11-385F5.5,-0.127962163,0.213599918,0,0
15152,PPDPF,-0.135134108,0.213693818,1.13,0.189
15153,RP4-758J24.6,-0.19779449,0.21377482,0,0
15154,RP11-191L17.1,-0.153962763,0.213831611,0,0
15155,ANKRD23,-0.166454063,0.213856773,1.213,0.002624
15156,PGAM1P5,0.218524014,0.213910786,0.8491,0.001085
15157,PNOC,-0.259527989,0.214016581,1.097,0.01475
15158,MVP,-0.088769271,0.214061203,0.977,0.7911
15159,MIR4482,-0.220891686,0.214073902,1.066,0.3402
15160,H3F3AP6,0.157712352,0.214145345,0.8939,0.1719
15161,BMS1P4,-0.154167116,0.214209288,1.161,0.01826
15162,CEP57,0.064383815,0.21432102,0.8632,0.1357
15163,VLDLR-AS1,0.187894851,0.214336988,1.07,0.2901
15164,AP000295.10,-0.129435807,0.214363928,0,0
15165,UST,0.246066616,0.214422635,1.053,0.212
15166,RP11-70P17.1,-0.137195834,0.214450277,0,0
15167,POU5F1,-0.197675905,0.214457942,1.017,0.679
15168,RP11-630A13.4,0.258908616,0.214569858,0,0
15169,CLEC5A,-0.184204225,0.214619748,1.065,0.1518
15170,UIMC1,-0.05133655,0.214702035,0.9543,0.6771
15171,ALG1L9P,0.117507341,0.21482192,1.265,0.009857
15172,PI4KAP1,-0.204146968,0.214826901,1.143,0.004253
15173,AC073130.3,0.175470288,0.214851777,0,0
15174,BAD,-0.120461119,0.214857897,1.31,0.02307
15175,RPL7P21,0.268811712,0.214861125,0.9814,0.7661
15176,RP11-395A13.2,-0.083974182,0.214877645,0,0
15177,MAPK13,0.108140404,0.214997105,0.9547,0.5228
15178,ZC3H12B,0.141875871,0.215029309,0.928,0.1784
15179,RPS26P11,-0.218339277,0.21514012,1.093,0.2179
15180,RGS7,0.456433211,0.215142246,0.9812,0.41
15181,WDR41,-0.065096117,0.215177493,1.078,0.5274
15182,ZNF318,0.068200057,0.215243194,0.9146,0.2911
15183,AC006978.6,-0.068921275,0.215271839,0,0
15184,FAM204A,0.059579835,0.215396468,0.8224,0.07955
15185,BIK,0.243293368,0.215412844,1.053,0.2914
15186,COPG2,-0.091759616,0.215531134,1.166,0.08351
15187,RP11-656G20.1,0.242793849,0.215579883,0,0
15188,FGD1,-0.105041974,0.215687769,1.19,0.06845
15189,GPR115,-0.416606723,0.215762067,1.13,0.00000466
15190,RPL39P36,0.125987391,0.215778001,1.099,0.2853
15191,AC010095.5,0.241184026,0.215789631,0,0
15192,MED31,0.075511467,0.21581223,0.9963,0.9768
15193,RWDD3,-0.066634952,0.215920794,1.369,0.01783
15194,RP11-517C16.2,-0.207648623,0.21600616,0,0
15195,BANF1P3,-0.166536621,0.216039202,1.031,0.6959
15196,NUGGC,0.251290872,0.216043538,0.912,0.008606
15197,CORIN,0.15671349,0.216133552,1.072,0.2566
15198,RP11-112J1.3,0.187068808,0.216142793,0,0
15199,C5orf63,0.132665832,0.216169722,1.06,0.4457
15200,AC009974.11,-0.223333199,0.216226561,0,0
15201,MANEAL,-0.196675357,0.216229386,1.171,0.001898
15202,PLA2G15,-0.09169061,0.216256044,1.11,0.307
15203,ATF6B,-0.053131252,0.216262129,1.168,0.2051
15204,FAM118A,-0.132611757,0.216302811,1.249,0.002412
15205,GRM5-AS1,0.281299614,0.216342486,0.9685,0.4743
15206,RP11-747H7.3,0.167739687,0.216521102,0,0
15207,RP11-630I5.1,-0.181271123,0.216531935,0,0
15208,CTD-2235C13.3,-0.160109473,0.216555591,0,0
15209,RP11-358D17.2,0.204140512,0.216596472,0,0
15210,IFI6,-0.145364069,0.216626137,1.18,0.03141
15211,TFIP11,0.075040211,0.216666283,0.9193,0.3188
15212,RGS6,0.190924903,0.216694589,0.9044,0.02715
15213,EIF3FP3,-0.13212132,0.216893194,1.04,0.5427
15214,CYP2C8,0.262217312,0.216922303,0.9648,0.332
15215,RLIM,0.06697372,0.217013138,0.9141,0.3158
15216,AC136289.1,0.162568092,0.217031938,0,0
15217,PDIA3P1,-0.069247577,0.21704925,1.108,0.3731
15218,LTBP3,-0.117426727,0.217106532,1.049,0.546
15219,GPR3,0.151781957,0.217134821,0.9634,0.5245
15220,DNAJC24,0.066472709,0.217153986,0.8849,0.2006
15221,CDV3,-0.078874659,0.217232725,0.9674,0.7109
15222,RP11-506M13.3,-0.134624196,0.217297371,0,0
15223,ST3GAL2,-0.062538235,0.217351691,1.143,0.2322
15224,C1orf56,-0.083430807,0.217372497,1.277,0.03493
15225,Z98750.1,-0.202556801,0.217401079,0,0
15226,CXorf40B,-0.070154275,0.217403583,1.125,0.3313
15227,ZNF385D,-0.190489694,0.217407113,1.103,0.03379
15228,RP11-513G19.1,-0.205287168,0.217409892,0,0
15229,SNORA2,0.109894823,0.217419533,0,0
15230,MIB2,-0.10125518,0.217438461,1.227,0.04176
15231,LINC00909,0.066754488,0.217441788,0.8511,0.07759
15232,LINC01089,-0.184207041,0.217443726,1.301,0.0000223
15233,TOE1,-0.056861866,0.217472355,1.077,0.5533
15234,PCSK4,-0.14238523,0.217486552,1.158,0.0542
15235,IGLV2-11,-0.33269558,0.21751867,1.055,0.05297
15236,POLR2L,-0.126781562,0.217532939,1.118,0.2433
15237,IGFALS,-0.19635214,0.217548744,1.064,0.2168
15238,MTFR1,0.106347834,0.217592313,0.7984,0.002668
15239,ARMCX2,0.082571793,0.217667213,0.9341,0.4368
15240,CH17-264L24.1,-0.181295339,0.217676822,0,0
15241,CCNK,0.088171198,0.217766197,0.9018,0.1397
15242,DNAJC22,0.133576157,0.21778966,0.9102,0.0439
15243,LINC01127,-0.371874599,0.217828597,1.062,0.0168
15244,LAMP1,0.070199927,0.217880466,0.889,0.2418
15245,ATF2,0.059457086,0.218004861,0.8777,0.1726
15246,LPAR1,0.208998031,0.218038154,1.042,0.3261
15247,AQP8,-0.249353929,0.218062027,1.169,0.004173
15248,CTB-129P6.11,-0.227628428,0.218066394,0,0
15249,PPP3CB-AS1,0.069790634,0.21813591,0.9262,0.4551
15250,TSEN54,-0.07863856,0.218187691,1.473,0.003441
15251,KCNK9,-0.26924709,0.218207046,0.9931,0.7977
15252,HMGN2P41,0.172175132,0.218208308,1.068,0.2402
15253,RP11-480D4.2,0.189684655,0.218276529,0,0
15254,RPL21P3,-0.141511937,0.218360167,1.099,0.2605
15255,ASIC4,-0.262086749,0.218436222,1.19,0.0003475
15256,DCAF13P3,0.232220087,0.218459304,1.172,0.02225
15257,PTRHD1,-0.104299636,0.218516374,1.391,0.004261
15258,PLCH1,0.134167306,0.218526109,0.8591,0.01332
15259,CTB-134H23.3,0.29155026,0.218596047,0,0
15260,ITPKC,-0.107604384,0.218745139,1.012,0.8889
15261,ERLEC1,0.070149749,0.218802792,0.907,0.3758
15262,RP11-561B11.1,-0.195383919,0.218856737,0,0
15263,PCDHGA11,0.215132774,0.218882682,0.9191,0.1319
15264,RP11-413H22.3,0.166567057,0.218884218,0,0
15265,BLACAT1,-0.277473536,0.218906155,1.199,2.84E-07
15266,CCDC66,-0.100078352,0.218908794,1.255,0.02175
15267,ATP13A2,-0.074615479,0.218915672,1.094,0.3897
15268,RP11-151F5.2,0.193421781,0.218966903,0,0
15269,AP001187.9,0.231927052,0.218970841,0,0
15270,RP11-90B9.3,-0.183502352,0.218978457,0,0
15271,CTC-250I14.1,-0.213229769,0.219019443,0,0
15272,RP11-89K11.1,-0.149434555,0.219019486,0,0
15273,AC007228.11,0.160124475,0.219035593,0,0
15274,RP11-114H23.3,0.21748142,0.219052965,0,0
15275,RP11-996F15.2,0.172522153,0.219258848,0,0
15276,RP11-380G5.2,0.248338057,0.219276707,0,0
15277,GLP2R,0.374513246,0.219314483,1.053,0.05933
15278,UBA2,0.055971378,0.219371033,0.9374,0.5592
15279,RP11-358B23.1,0.150742119,0.219389454,0,0
15280,SNX17,-0.058073596,0.219459745,0.9819,0.8758
15281,CXCL6,-0.365302416,0.219463092,1.088,0.0007144
15282,HCG9,0.157189308,0.219487777,0.9472,0.3819
15283,CYP2D8P,-0.225048379,0.21951986,1.132,0.005093
